# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 Bank02__max_failures_allowed=1 Bank02__sector_A_i0=500 beta=0.02 default_seed=18776 eta=0.2 Firms02__A_i0=1.0 Firms02__K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_Bank02__deposits_and_networth=0 threshold_Bank02_rupt=0 w=1.0
  t,Bank02_L,Bank02_A,Bank02_D,Bank02_PROFITS,Bank02_BD,Firms02_K,Firms02_A,Firms02_L,Firms02_PROFITS,Firms02_Y,Firms02_R,Firms02_I,Firms02_GAMMA,Firms02_U,Firms02_DK,Firms02_OL,Firms02_GAP_OF_L,Firms02_DL,Firms02_FAIL
 45,235139.7531329298,18811.180250634385,216328.5728822954,-3.835195564144739,1.2728165582584772,5.611157613005438,254.33555205725915,2.9509997447433824,-37.30627010793217,5.793479169799392,0.017121793449653488,-364.6745349545087,1.0029654614503984,0.9891677532422499,-43.6603156089627,230511.40749176018,0.0,-342.1441900517155,2
 46,239286.85167520947,19142.94813401676,220143.9035411927,-5.355448332859932,7.231836697374633,5.5584951632658,221.38422058130527,3.638846387264417,-36.224148034212426,5.740816720059754,0.004763822745746789,-356.7939319309891,1.0075551911269351,0.8595243287607054,-74.26587027658074,234968.4083537106,0.0,-296.08002121015176,3
 47,243287.93543322245,19463.034834657796,223824.90059856465,-4.1226040272662665,0.0,5.640250035132878,253.11426532408927,3.3470522181842592,21.498208045409495,5.822571591926832,0.004268250033938447,-344.4618085655257,1.0043661054489974,0.9625664559096464,-79.57806755741309,239119.20562370986,0.0,-295.5575964940321,0
 48,247744.18478250003,19819.534782600003,227924.64999990002,-4.29900458777085,3.71191831812016,5.608643521412731,244.12279511856292,3.355194620668281,-8.99147020552628,5.7909650782066855,0.008700468703969727,-349.2917012478798,1.0042682500339384,0.9665767279798495,-67.75859840547,243102.27340684753,0.0,-342.37107177496887,2
 49,252081.55043768024,20166.52403501442,231915.02640266583,-5.610177092703461,4.456354989481914,5.7398247663737125,293.9489914221273,2.8367901977249406,44.11427798544399,5.9221463231676665,0.005408037741419346,-352.79114248339374,1.007724564707326,1.0360147245593043,-78.06281891394491,247551.16527426583,0.0,-333.0497003538811,2
 50,257129.52259833724,20570.36180786698,236559.16079047025,-8.174254408616692,6.491404587045656,5.59758262553021,251.97745421316384,2.8789748833589077,-48.42789219844532,5.779904182324164,0.012169705566809462,-366.1444529273513,1.004972653423792,0.8978717692083505,-46.08131115214836,251859.02547188156,0.0,-397.42874148888615,5
 51,261164.4865690969,20893.15892552775,240271.32764356915,-3.5454118240438124,2.0350650809618824,5.974497743722702,347.1156250243946,3.8320032145259546,83.64676622418531,6.1568193005166565,0.007312922738466451,-346.0888303753398,1.0025005801306526,0.991199439341881,-56.51616973899636,256962.2472909152,0.0,-285.399864283438,4
 52,267137.29870941304,21370.98389675304,245766.31481265998,-9.405745771444112,0.34674460082015957,5.9738516051080826,386.6194677612795,1.8558347468499743,33.46877765592323,6.1561731619020374,0.0019171660876029784,-442.28967612854666,1.007587432542388,1.0147586535003796,-29.611533140477494,260929.83331755982,0.0,-472.7304922535888,1
 53,272404.27916806244,21792.342333444994,250611.93683461743,-8.781824295602515,6.363375225742521,6.1489265986068045,446.5050616771905,3.077748715448404,58.5388493150904,6.3312481554007585,0.0016678501479571472,-389.3188977207508,1.00194200268891,0.9925262706429776,8.168533575981407,266924.77640733565,0.0,-414.6132010428617,2
 54,278352.08413855935,22268.166731084748,256083.9174074746,-10.058801908677715,21.325911715090253,6.429715877812436,589.3191102945678,3.423567219638718,134.4506733916348,6.61203743460639,0.003936448175214579,-432.4447612606121,1.0011022109503718,1.0297208569966276,44.7639452013139,272176.5720056342,0.0,-477.6496220961572,1
