# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 BankZ_max_failures_allowed=1 BankZ_sector_A_i0=500 beta=0.02 default_seed=17833 eta=0.9 FirmsZ_A_i0=1.0 FirmsZ_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_BankZ_deposits_and_networth=0 threshold_BankZrupt=0 w=1.0
  t,BankZL,BankZA,BankZD,BankZPROFITS,BankZBD,FirmsZK,FirmsZA,FirmsZL,FirmsZPROFITS,FirmsZY,FirmsZR,FirmsZI,FirmsZGAMMA,FirmsZU,FirmsZDK,FirmsZOL,FirmsZGAP_OF_L,FirmsZDL,FirmsZFAIL
 41,284356.09511751,22748.4876094008,261607.6075081092,-10.936164296286735,0.0,4.542787132329495,93.9522930158405,nan,-7.412172764222748,4.7251086891234495,0.0,-539.5711217789204,1.0,0.9211626290821576,-438.2066559988573,277390.01964066783,0.0,-546.8082148143368,0
 42,290829.6426847591,23266.37141478073,267563.2712699784,-10.569057252651728,0.0,4.611653194251929,100.65040684484308,nan,6.698113829002598,4.793974751045884,0.0,-535.8650353968094,1.0,0.9953626079730872,-441.91274238096844,284089.58926389914,0.0,-528.4528626325864,0
 43,297517.067209978,23801.36537679824,273715.70183317974,-10.91824412280626,0.0,4.591025972545866,98.59553459953314,nan,-2.0548722453099675,4.773347529339821,0.0,-539.2140923113104,1.0,0.9642281518506599,-438.5636854664671,290565.7421274819,0.0,-545.9122061403131,0
 44,304084.681563284,24326.774525062723,279757.9070382213,-10.722635678866913,0.0,4.585307853813401,98.03336244154798,nan,-0.5621721579851404,4.767629410607355,0.0,-538.1866561886554,1.0,0.9628769759790042,-439.59112158912217,297254.43664684595,0.0,-536.1317839433457,0
 45,310667.1381881921,24853.37105505537,285813.76713313675,-10.746867959033557,0.0,4.724886493753462,112.71770348449205,nan,14.68434104294404,4.907208050547416,0.0,-537.9055701096629,1.0,1.1058571033835713,-439.8722076681149,303816.6616695929,0.0,-537.3433979516778,0
 46,317526.3061886996,25402.10449509597,292124.20169360365,-11.19864163348158,0.0,4.50109717192203,90.1159497699985,nan,-22.601753714493533,4.683418728715985,0.0,-545.247740631135,1.0,0.8662200523256794,-432.5300371466429,310379.69860297616,0.0,-559.932081674079,0
 47,323790.2837869271,25903.222702954172,297887.0610839729,-10.22690220118789,0.0,4.724138960921384,112.63347478616195,nan,22.517525016163447,4.906460517715339,0.0,-533.946863773888,1.0,1.1168374455629426,-443.8309140038898,317265.46814146126,0.0,-511.3451100593945,0
 48,330744.89239032933,26459.591391226346,304285.300999103,-11.354463025962664,0.0,4.703230850419596,110.30296977484251,nan,-2.330505011319364,4.8855524072135506,0.0,-545.2056262819697,1.0,1.0593228650192934,-432.5721514958081,323507.60438319045,0.0,-567.7231512981332,0
 49,337380.83828270057,26990.467062616048,310390.37122008455,-10.834197375299816,0.0,4.591681861426632,98.66022352642493,nan,-11.642746248417641,4.774003418220586,0.0,-544.0403737763104,1.0,0.9561630052962666,-433.7374040014675,330473.95672217774,0.0,-541.7098687649908,0
 50,343831.3973991456,27506.511791931647,316324.88560721395,-10.531525088073675,0.0,4.628590173753017,102.36963892335712,nan,3.709415396932217,4.810911730546972,0.0,-538.2190006521014,1.0,0.996771771230306,-439.55877712567633,337120.50339209696,0.0,-526.5762544036837,0
 51,350492.7406650525,28039.4192532042,322453.3214118483,-10.875662474949996,0.0,4.525863576402593,92.37566483766672,nan,-9.993974085690432,4.708185133196548,0.0,-540.0737083505677,1.0,0.8957442721963299,-437.7040694272103,343563.3704206497,0.0,-543.7831237474998,0
 52,356925.0043185225,28554.000345481803,328371.00397304073,-10.50165494444063,0.0,4.501073461199044,90.11381308100815,nan,-2.261851756658556,4.683395017992998,0.0,-535.0767213077221,1.0,0.892691045226614,-442.70105647005545,350225.7216857267,0.0,-525.0827472220316,0
 53,363438.1326285136,29075.05061028109,334363.08201823256,-10.633678873454684,0.0,4.571728141633545,96.71109591471036,nan,6.597282833702201,4.7540496984275,0.0,-533.9457954293927,1.0,0.9537257669840086,-443.8319823483847,356646.840707702,0.0,-531.6839436727342,0
 54,370100.1936945931,29608.015495567448,340492.1781990256,-10.876834393598923,0.0,4.529884094274843,92.74781045686653,nan,-3.9632854578438614,4.712205651068797,0.0,-537.2444368462437,1.0,0.9185927489094426,-440.5333409315337,363165.4817114989,0.0,-543.8417196799461,0
