# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 BankY_max_failures_allowed=1 BankY_sector_A_i0=500 beta=0.02 default_seed=12955 eta=0.0001 FirmsY_A_i0=1.0 FirmsY_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_BankY_deposits_and_networth=0 threshold_BankYrupt=0 w=1.0
  t,BankYL,BankYA,BankYD,BankYPROFITS,BankYBD,FirmsYK,FirmsYA,FirmsYL,FirmsYPROFITS,FirmsYY,FirmsYR,FirmsYI,FirmsYGAMMA,FirmsYU,FirmsYDK,FirmsYOL,FirmsYGAP_OF_L,FirmsYDL,FirmsYFAIL
 41,80479277.47397992,6438342.197918394,74040935.27606152,-130480.39574539507,273.93352788456036,14.952348977891289,3113136.7129936833,8.23263533370583,785806.4633520631,15.134670534685243,0.05477437991021496,-1163571.9474105858,1.0311878690651604,0.9597955393707162,1164555.9955882553,52227775.82854017,47.02607741775118,-2377317.1397299287,13
 42,107681333.73123044,8614506.698498435,99066827.03273201,-185621.1640760892,1285.0452354145932,15.473625361763162,5228640.219843944,9.941030494164718,2115216.5733223786,15.655946918557117,0.07858137070513987,-1558204.3473563727,1.0321926475262382,0.9634541802371328,1557584.111026842,80402976.43145922,274.95710099867034,-2342115.1325179874,21
 43,162046730.1543099,12963738.412344791,149082991.74196512,-382827.0812805243,5136.615313565744,14.495861982059122,1956591.1270888709,9.797037289825296,-3273355.13799049,14.678183538853075,0.08080679189151158,-2633548.612079149,1.0608137456302469,0.9418837765914827,2615553.302563418,107555055.1139866,798.5829695384344,-4731592.552086531,24
 44,142094979.0061379,11367598.320491033,130727380.68564688,-8401.4017780779,1687333.57778493,13.734785275221293,-1459627.1601388205,14.68348219084121,-3421378.902541257,13.917106832015246,0.07935038219342448,-984207.0965707961,1.0367126724932731,1.0621521236141496,981568.4750409112,161923663.3405945,91.48657802620846,2283099.122444634,16
 45,144359147.37550408,11548731.790040325,132810415.58546375,-18808.16400416092,130.5126323705087,12.16292533196454,181685.92167160418,9.197066234344703,-46036.49597450484,12.345246888758496,0.09780629443597945,-124908.51684105363,1.0443330653296965,1.0687059825242715,114448.14903656015,142033672.6099941,0.0,-190136.25559890742,15
 46,145303493.2290744,11624279.45832595,133679213.77074844,-1746.9041619711552,304.17023921270646,12.152162099300572,160236.9512665322,10.284196099125154,-21594.483037442555,12.334483656094525,0.057929321015762446,-100440.91416681591,1.0641620570448789,0.9951913840427864,91127.26063065171,144339886.13082182,0.0,-44831.38330419921,16
 47,146084515.5826842,11686761.246614736,134397754.33606946,-11497.11717123145,955.0121698277298,12.10378114457153,174090.3805100411,8.773831973513104,13533.25900429622,12.286102701365484,0.1625906546160954,-109825.3594956069,1.043645815987122,0.9499768637730946,79539.55318311664,145266320.89255297,0.0,-60026.55488326166,17
 48,147444055.715036,11795524.457202882,135648531.25783312,-12162.098709103408,8027.837673226922,12.626453547803978,277028.73762415483,10.221196981546022,101966.34494428597,12.808775104597933,0.10225522540483677,-92116.46563052032,1.0631600761675382,0.9196303602083052,88301.87893544904,146031453.0928551,0.0,-101381.51826841911,19
 49,150217218.21773398,12017377.45741872,138199840.76031527,-38685.92526361537,1610.6564967136142,13.064060898541294,462197.4732991557,9.157446314937408,177121.89800177407,13.24638245533525,0.1484209032287201,-153175.56253404432,1.036613955463607,1.0391783486727784,142862.1024074889,147362520.32765096,0.0,-253655.026814482,19
 50,155170210.20360142,12413616.816288114,142756593.3873133,-19046.74144262123,124.64173219505989,12.919016596929387,403482.56392207474,8.415170798134863,-60344.56587379465,13.101338153723342,0.04605323170328704,-236794.94027826242,1.1178270507051284,0.9460163077705638,232539.2151335793,150113209.3281733,0.0,-411457.0102661103,15
 51,156895371.7358619,12551629.738868952,144343741.99699295,-8578.97528128961,2071.846791864724,12.829300125214596,365839.62010655313,8.874567901433227,-37782.58554771656,13.011621682008549,0.05825833658619697,-205366.11589521394,1.0306768301291744,0.9740202386099931,202571.3463879515,155108235.3267809,0.0,-141231.12333590552,13
 52,160172038.5245423,12813763.081963385,147358275.4425789,-21720.273819195623,515.666922884976,13.265809592947907,440301.5789869677,11.82642721246205,72377.11208854965,13.448131149741862,0.06754048696652022,-184986.4994093272,1.0406568499866384,1.044836696616954,184788.62919700315,156770809.99135184,0.0,-147687.90960106903,14
 53,164422128.6372228,13153770.290977824,151268358.34624496,-18620.398397932662,7553.192940924206,13.380403107700982,589827.5435072412,10.957234589075346,148996.29759738845,13.562724664494937,0.05333437867061056,-347140.8093336659,1.0492188047468471,0.9487376009265,216930.66432844513,160088413.8021541,0.0,-297460.87072755146,21
 54,171072698.7521236,13685815.900169889,157386882.85195372,-43921.19141520442,21498.701192525317,13.553597415183939,633325.6687398826,11.82226282585226,35923.932291717356,13.735918971977892,0.07699982376638691,-343139.3412728992,1.0272752549702486,0.9385802750744341,297815.56616913894,164262983.60329616,0.0,-456737.8655811438,23
 55,175970285.79084197,14077622.863267358,161892662.9275746,-23120.261355121154,264.58066510663707,13.559208451668017,748646.7161337992,10.13703340459724,93799.3462013916,13.741530008461972,0.057821721782352675,-330850.44538563694,1.0408427472152506,0.9563510990640148,327832.7523192455,170993625.92088544,0.0,-387461.38736389,18
 56,181601373.2029993,14528109.856239945,167073263.34675935,-30875.404998683676,205.8990848897209,13.994971189483325,1185842.9337330568,9.280692790224883,436913.63693414995,14.17729274627728,0.06351708726260609,-399466.9539020742,1.041407213195323,1.031733517998399,374629.2188799999,175818236.4739762,0.0,-470768.10827570915,12
 57,193781976.40599123,15502558.1124793,178279418.29351193,-59135.20182652721,133.67326521163204,13.749852340534893,932190.2692697666,8.35716595942063,-253870.56354817929,13.932173897328848,0.05753069504210104,-602812.5110760544,1.0411090682919462,0.9973539874311135,593710.7224581251,181348060.06183445,0.0,-1029613.9254689612,10
 58,196459007.91185576,15716720.632948462,180742287.2789073,-12884.083140748276,467.1082914647068,14.289308221383166,1590382.9160780443,9.661356685934528,658048.9735430663,14.471629778177121,0.05393408135691658,-469573.2825065542,1.0458487657153543,1.0122156704986855,466877.1709716503,193735606.55859283,0.0,-211765.1071467181,13
 59,213110161.83849236,17048812.94707939,196061348.89141297,-167488.22191921453,1288.8498337983672,14.8436564996934,2749250.9299385604,10.7499216875611,1158387.9055690502,15.025978056487354,0.11613415752451745,-808936.4836878916,1.0404471102093231,0.9517749148901565,796045.5556602103,196028010.43434343,0.0,-1453591.9489437286,17
 60,243850521.0167768,19508041.681342144,224342479.33543465,-122807.02539265378,625.7058148898873,15.30379604758008,4414793.740066174,9.5956606208827,1664236.9602938169,15.486117604374035,0.04838324724817167,-1422592.622840592,1.0711156813315157,0.9222662390083999,1369992.8518791709,212565816.94217813,0.0,-2543269.279493184,24
 61,288971157.5935017,23117692.607480135,265853464.98602155,-267469.57544173155,1500.7480379003925,15.074957543397662,3518759.3942703553,8.458084730840444,-896684.051610708,15.257279100191617,0.0690306837493235,-2221683.4098155294,1.0198245556936503,0.9957892594847978,2207657.4526422685,243050300.3935895,7.875202423265634,-3872797.947661291,16
 62,306119676.85183424,24489574.14814674,281630102.7036875,-137303.69421607928,73946.46346922821,14.896299634477444,2228580.2452833983,13.484814924925896,-1291695.8970248583,15.078621191271399,0.06439342626530777,-1760331.8717099775,1.0586987166832118,0.8268768140111353,1760911.913932273,288301933.52784157,0.0,-865071.2477122158,28
 63,473335776.40054274,37866862.11204342,435468914.2884993,11551992.428034183,270.2319878719801,15.295995936620296,2547348.788377314,14.42946822836523,244794.07962468747,15.47831749341425,0.1709353754638964,-1767137.4285300728,1.022831338657716,0.9933492010573303,1152206.8635108273,305747191.36326003,0.0,22192.827915602436,22
 64,408258584.4146897,32660686.75317518,375597897.6615145,-234260.0721303791,10413442.784845386,nan,-5383862.518591569,14.555853165082128,-7931503.538956754,nan,0.0976360630276242,-3229760.511317123,1.1162956678956402,0.9381928191917855,1165278.0233193627,464750829.4233754,0.0,-1627500.8056318827,22
 65,470738461.2508147,37659076.900065176,433079384.3507495,-300491.2132222663,5852.287863883931,15.35580960382428,4655394.390851074,9.267761292405055,-374207.8754027369,15.538131160618235,0.05665027339840171,-2525511.8099150127,1.0403255907638616,1.0459197412380543,2515489.000695818,407807811.45729566,0.0,-5293801.2280109525,18
 66,494176357.9460797,39534108.635686375,454642249.3103933,-98643.52273179818,444.0752164771552,15.846991748065072,7615432.767973526,9.204307876696072,2954168.08925857,16.029313304859027,0.04994724101758729,-2331129.46220096,1.036646247827903,1.0147975655687034,2331496.602492926,470333565.18686676,0.0,-1964419.0880398038,18
 67,574795718.3265713,45983657.466125704,528812060.8604456,-384829.1699175461,1395.2536548085886,14.96875418961128,3095730.412772323,11.194414952190192,-4520164.430417683,15.151075746405235,0.05590746957512453,-3809008.970521322,1.0285263218048417,0.857452990111702,3808854.2195815737,493369319.68842614,0.0,-6763242.18111454,18
 68,573029337.7715547,45842347.02172438,527186990.7498303,-780771.1817946661,2983.0040065670455,15.798709625721317,3658221.741627369,15.0985888718214,561078.0752002381,15.981031182515272,0.21182128112830195,-1619560.864509711,1.0384982593426062,0.9855572270022235,1548106.4640024824,574280883.1320099,0.0,2968068.609561412,19
 69,579000916.386829,46320073.31094632,532680843.0758827,-1710519.6082762112,316289.73861937295,14.86550248819694,952609.1672973392,14.460002482650847,-2708614.5783365965,15.047824044990895,0.6973240412947974,-5474448.474011234,1.1059597206909106,1.0627732663384888,1790704.863350104,572324590.6469318,0.0,-2437571.2986783083,16
 70,588380328.4933482,47070426.27946786,541309902.2138804,-33147.74707490846,3099.047910339841,14.691561279063242,2293206.7971127974,11.59164764328536,1024291.8911960855,14.873882835857199,0.04644361232755829,-642390.1507481044,1.6829366198316302,1.015948195309857,635173.1901890154,578904895.8954023,0.0,-674379.3815004387,15
 71,613633807.3281387,49090704.5862511,564543102.7418876,-186932.59705873896,146.75216776025175,15.061153427733396,3471579.182050808,8.185623285775945,1175258.337027671,15.243474984527351,0.08544311092026419,-1257252.9059282409,1.0364782638053294,0.9829441216060354,1143106.2688790401,587607957.0548066,0.0,-2183502.8479854427,17
 72,647766244.8091711,51821299.58473369,595944945.2244374,-193317.21462564758,2143.2750526916134,15.293083093111639,4367512.258250805,9.601208383346505,895769.3240322367,15.475404649905594,0.06591483491879535,-1738274.3747126122,1.0623210324374952,0.945323554703591,1736691.2579258082,612517268.0878932,0.0,-2910832.247659859,15
 73,683532449.7157639,54682595.97726111,628849853.7385029,-236427.0066974431,217.96268724061736,15.028815380401483,3350003.8019561744,9.587533242763168,-1019666.7313473216,15.211136937195436,0.07624608666213506,-2193386.136429092,1.0357499855385572,0.9758449374903112,2185527.046687255,646866998.9822943,0.0,-3083053.434628498,21
 74,701012037.5791404,56080963.006331235,644931074.5728092,-135367.29416668686,502193.8861757599,15.833862277273568,6136475.995545383,14.144406953974395,2786233.2309019654,16.016183834067522,0.05845276779787225,-1688571.0577011183,1.0308523504670617,0.9295589743139441,1675852.2462961439,682703631.0092764,0.0,-655148.4596737474,20
 75,783127503.8795139,62650200.31036111,720477303.5691527,-459270.42682117707,14619.358028145374,15.452870796843133,5089403.337691205,10.862372228389782,-1549286.5440299406,15.635192353637086,0.06563819611327949,-3660208.1332687424,1.0326658399866973,0.902318259976333,3311417.7110967766,699400882.7903699,0.0,-6970738.199701827,25
 76,806067640.162605,64485411.213008404,741582228.9495966,-237782.2189878927,191.73840755625795,15.795653166886918,6220020.735203876,13.838987996806749,1115973.039484531,15.977974723680871,0.08636053159049865,-2563339.6767889927,1.0318318491780005,1.112112423118704,2551677.143904425,782785615.8617444,0.0,-1044574.9899603543,16
 77,856597860.1201671,68527828.80961338,788070031.3105538,-245837.82610760326,89.83407201393608,16.011565253666433,8981173.524111984,9.024456186649752,2760945.050500558,16.193886810460388,0.05793742333133349,-4151161.2923292113,1.0569022436638975,1.0503201573907615,3092134.303983812,805189181.2125505,0.0,-4245139.790532032,12
 78,942489630.1047518,75399170.40838015,867090459.6963717,-392418.81831266225,4174.989189417753,16.338822834409203,12454054.103895461,9.666356705229944,3472778.7457114565,16.52114439120316,0.053997267879336286,-4498339.079451804,1.0495744974094283,0.9581150383858039,4491164.259943797,854942627.9094707,0.0,-7251227.6583845895,20
 79,1041731113.6136252,83338489.08909002,958392624.5245352,-2136668.833155496,624.4363202023442,16.815198483639605,19716402.083115604,12.80179341222962,7258152.990030709,16.99752004043356,0.21273484287710603,-6232051.525439237,1.0279282790074424,0.9745676070821436,6229937.94696479,940363964.8196517,0.0,-9713593.912698224,17
 80,1204294006.9453712,96343520.55562969,1107950486.3897414,-4600803.05549391,799.6146677460191,17.05053537006513,25093491.438088447,12.65558887782944,5376447.91865265,17.232856926859085,0.2593751476449116,-10256120.204390341,1.1889925536114965,0.9758136188859924,9822449.206974996,1039585797.8769027,588.9648304764814,-17153748.693621226,16
 81,1406834511.7786822,112546760.94229458,1294287750.8363876,-1753444.0204972676,2670.3944911770714,17.22734471158948,30319512.658198178,7.16522123258791,5225205.605441992,17.409666268383436,0.09777789799688463,-12867024.263028376,1.0445605022443183,1.0198004139887378,12539890.568161374,1201542301.7380095,4.884309714886561,-17931771.833217572,18
 82,1640027453.511437,131202196.28091496,1508825257.230522,-1751718.6748760806,427.8782119278963,17.816105774033982,54619304.68143667,9.337212771994395,24297103.62874732,17.998427330827937,0.08581000574193041,-15161234.895905668,1.0797298018159596,1.1128163824533888,15161910.358534014,1403679646.9888396,45.61262453198631,-20395985.320792563,13
 83,2255224170.582581,180417933.6466065,2074806236.9359746,-2434911.5020428333,70.08539168735794,17.816263240527388,54597005.40263201,10.651482126460893,-22740.157016594603,17.998584797321342,0.0471872402906101,-27319241.130371276,1.0768226698375238,0.9670936521778469,27310501.441223547,1633686083.2045517,288.5467059610577,-51607983.82891018,12
